                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.0316,                0.62066,                 1.0582,                0.84179,                 0.7598,                0.85116,                0.59237,                 1.1055,                0.69974,                 1.1301,               0.006898,               0.006898,               0.006898
                     49,                 1.0462,                0.63508,                 1.0595,                0.84327,                0.76155,                0.85318,                0.59413,                 1.1027,                0.69576,                 1.1192,               0.006832,               0.006832,               0.006832
                     50,                 1.0438,                0.63081,                 1.0613,                0.84263,                0.75936,                0.85235,                0.59459,                  1.102,                0.69306,                 1.1226,               0.006766,               0.006766,               0.006766
                     51,                 1.0374,                0.62364,                 1.0621,                0.84397,                0.76019,                0.85261,                0.59414,                 1.1038,                0.69444,                 1.1361,                 0.0067,                 0.0067,                 0.0067
                     52,                 1.0418,                0.62774,                 1.0674,                 0.8393,                0.76151,                0.85206,                0.59292,                  1.106,                0.69627,                 1.1381,               0.006634,               0.006634,               0.006634
                     53,                 1.0295,                0.61256,                 1.0544,                0.84675,                0.75825,                0.85224,                0.59456,                 1.1026,                0.69188,                 1.1312,               0.006568,               0.006568,               0.006568
                     54,                 1.0387,                0.62279,                 1.0605,                0.84677,                 0.7598,                0.85321,                0.59463,                 1.1018,                0.68969,                 1.1282,               0.006502,               0.006502,               0.006502
                     55,                 1.0262,                0.61324,                 1.0543,                0.84588,                0.76005,                0.85271,                0.59434,                 1.1053,                0.69414,                 1.1306,               0.006436,               0.006436,               0.006436
                     56,                 1.0347,                0.61808,                 1.0619,                0.84464,                 0.7608,                0.85442,                0.59559,                 1.1018,                0.68941,                 1.1308,                0.00637,                0.00637,                0.00637
                     57,                 1.0227,                0.60759,                 1.0526,                0.84219,                0.76121,                0.85359,                0.59541,                 1.1011,                0.68971,                 1.1204,               0.006304,               0.006304,               0.006304
                     58,                 1.0247,                 0.6044,                 1.0556,                0.84148,                0.76298,                0.85356,                0.59595,                    1.1,                0.68919,                  1.133,               0.006238,               0.006238,               0.006238
                     59,                 1.0354,                0.61628,                 1.0603,                0.84179,                0.76363,                0.85373,                 0.5964,                 1.0991,                0.69123,                 1.1324,               0.006172,               0.006172,               0.006172
                     60,                 1.0221,                 0.6061,                 1.0543,                0.84412,                0.76109,                 0.8534,                0.59533,                 1.1011,                0.68961,                 1.1378,               0.006106,               0.006106,               0.006106
                     61,                 1.0303,                0.61246,                 1.0562,                0.84598,                0.76012,                0.85377,                0.59658,                 1.0989,                0.68886,                 1.1338,                0.00604,                0.00604,                0.00604
                     62,                 1.0232,                 0.6108,                 1.0555,                0.84193,                0.76232,                0.85364,                0.59756,                 1.0969,                0.68815,                  1.129,               0.005974,               0.005974,               0.005974
                     63,                 1.0187,                0.60299,                 1.0504,                0.84514,                0.76207,                0.85396,                0.59693,                    1.1,                0.68812,                 1.1337,               0.005908,               0.005908,               0.005908
